Date,Station,Crop,Rootdpth(inch),Deficit(inch),sm_val1(%),sm_val2(%),sm_val3(%),sm_val4(%),fc_date,fc_val1(%),fc_val2(%),fc_val3(%),fc_val4(%)
2024-06-27 00:00:00,0111,Soybean,21.619,1.46,15.7,18.4,40.4,49.5,2024-06-18,24.8,27.9,44.8,51.7
2024-06-27 00:00:00,0112,Soybean,21.619,1.09,21.5,29.1,37.4,49.7,2024-05-29,29.6,33.0,43.6,49.1
2024-06-27 00:00:00,0113,Soybean,21.619,2.19,24.1,32.0,42.7,50.2,2024-06-17,33.6,50.4,50.6,51.4
2024-06-27 00:00:00,0114,Soybean,21.619,2.01,18.1,34.1,40.6,41.5,2023-08-19,37.28,45.0,42.96,43.26
2024-06-27 00:00:00,0115,Soybean,21.619,2.43,20.4,29.1,32.1,31.0,2023-08-11,33.2,37.5,40.5,49.2
2024-06-27 00:00:00,0116,Soybean,21.619,1.08,10.9,16.6,29.8,48.1,2024-06-22,14.1,22.5,37.8,49.6
2024-06-27 00:00:00,0554,Corn,24,0.04,9.4,10.8,24.8,34.8,2024-06-26,7.9,8.8,24.7,35.4
2024-06-27 00:00:00,0556,Corn,24,0.03,25.3,21.9,16.7,23.6,2024-06-26,21.3,22.0,17.0,23.7
2024-06-27 00:00:00,0557,Corn,24,0.79,42.5,36.0,37.0,45.7,2024-06-16,37.2,38.0,44.3,49.5
2024-06-27 00:00:00,0558,Corn,24,0.0,20.4,18.6,18.3,27.0,2024-06-25,16.8,16.6,18.3,26.9
2024-06-27 00:00:00,0629,Corn,24,0.0,24.0,21.8,36.6,49.1,2024-06-27,23.9,21.8,36.6,49.1
2024-06-27 00:00:00,0630,Corn,24,1.74,16.1,3.1,16.9,21.9,2024-06-18,12.0,5.9,25.8,39.2
