Time (LST),AVG_WS (mph),precip (mm),SUM_SR (W/m²),AVG_Temp (°C),AVG_RH (%),SVP (kPa),VP (mb),HeatFlux (MJ/m²/day),Jdate,AP (kPa),gamma,VPD (kPa),VPS (kPa/°C),Rnet (MJ/m²/day),ETo (inch),Week,CWPE,SWPE
2024-04-14,10.4185,0.0,388.0,24.955,46.22,3.1593,14.6023,0.8728,104.0,97.585,0.0651,1.6991,0.1882,15.5924,0.3751,15,9,5
2024-04-15,5.2288,0.0,315.4375,19.0187,57.7804,2.2,12.7115,0.8728,105.0,97.536,0.0647,0.9289,0.1372,13.2624,0.2065,16,10,6
2024-04-16,8.7844,0.254,215.3542,20.4708,48.5921,2.4073,11.6976,0.8728,106.0,97.548,0.0648,1.2375,0.1485,9.5392,0.2599,16,10,6
2024-04-17,12.704,1.27,165.2083,18.5271,67.08,2.1334,14.3108,0.8728,107.0,97.532,0.0646,0.7023,0.1336,8.229,0.1799,16,10,6
2024-04-18,5.0665,8.636,193.375,14.675,66.4671,1.67,11.0999,0.8728,108.0,97.499,0.0644,0.56,0.1078,9.0732,0.1296,16,10,6
2024-04-19,10.1119,2.54,236.1667,10.0146,68.6254,1.2292,8.4352,0.8728,109.0,97.459,0.0641,0.3857,0.0824,10.4498,0.1199,16,10,6
2024-04-20,9.6665,0.0,254.1042,6.3938,54.7167,0.9609,5.2578,0.8728,110.0,97.426,0.0638,0.4351,0.0663,10.669,0.1309,16,10,6
2024-04-21,6.261,0.0,319.6042,6.7312,52.0552,0.9835,5.1197,0.8728,111.0,97.429,0.0639,0.4715,0.0677,12.7105,0.1374,16,10,6
2024-04-22,5.7021,0.0,305.6042,10.4833,50.1354,1.2683,6.3587,0.8728,112.0,97.463,0.0641,0.6324,0.0847,12.2504,0.1625,17,11,7
2024-04-23,8.4717,30.48,46.0,11.0417,73.5956,1.3164,9.6878,0.8728,113.0,97.468,0.0641,0.3476,0.0875,3.8961,0.0827,17,11,7
2024-04-24,8.5446,0.0,203.7292,6.6479,80.8392,0.9779,7.9052,0.8728,114.0,97.429,0.0638,0.1874,0.0673,9.5166,0.0704,17,11,7
2024-04-25,5.0636,0.0,326.25,7.1625,69.9073,1.0131,7.0823,0.8728,115.0,97.433,0.0639,0.3049,0.0695,13.5964,0.1096,17,11,7
2024-04-26,7.8448,6.35,143.2292,11.85,68.2371,1.3888,9.4764,0.8728,116.0,97.475,0.0642,0.4412,0.0917,7.3394,0.1136,17,11,7
2024-04-27,10.096,5.334,212.125,19.9833,75.8094,2.3359,17.7081,0.8728,117.0,97.544,0.0647,0.5651,0.1446,10.4482,0.155,17,11,7
2024-04-28,9.9706,1.524,218.2708,21.4479,69.1108,2.5563,17.6665,0.8728,118.0,97.556,0.0648,0.7896,0.1565,10.6206,0.1948,17,11,7
2024-04-29,6.5238,6.604,71.1875,17.8812,83.8115,2.0486,17.1699,0.8728,119.0,97.527,0.0646,0.3316,0.1289,4.8023,0.0747,18,12,8
2024-04-30,3.9404,0.0,340.6875,17.7229,70.845,2.0283,14.3695,0.8728,120.0,97.525,0.0646,0.5914,0.1278,15.0358,0.17,18,12,8
2024-05-01,6.3807,0.0,338.0,20.1783,57.6333,2.3642,13.6257,0.7445,121.0,97.546,0.0648,1.0016,0.1461,14.4885,0.2342,18,12,8
2024-05-02,5.5677,0.0,286.9375,21.3979,56.9777,2.5484,14.5205,0.7445,122.0,97.556,0.0648,1.0964,0.156,12.736,0.2261,18,12,8
2024-05-03,5.7348,0.508,237.125,20.1062,72.2744,2.3537,17.0113,0.7445,123.0,97.545,0.0647,0.6526,0.1456,11.3882,0.161,18,12,8
2024-05-04,3.6819,0.0,314.3333,20.5833,64.3383,2.4241,15.596,0.7445,124.0,97.549,0.0648,0.8645,0.1494,14.0932,0.1928,18,12,8
2024-05-05,6.1717,0.762,290.9583,16.5438,72.9098,1.8824,13.7246,0.7445,125.0,97.515,0.0645,0.5099,0.1197,13.1599,0.1524,18,12,8
2024-05-06,6.6212,0.0,267.6042,17.8208,69.9002,2.0409,14.2656,0.7445,126.0,97.526,0.0646,0.6143,0.1285,12.2849,0.1649,19,13,9
2024-05-07,7.6698,3.81,211.2708,20.5562,69.6135,2.42,16.8466,0.7445,127.0,97.549,0.0648,0.7353,0.1492,10.3415,0.1752,19,13,9
2024-05-08,3.4227,0.0,245.1875,20.5562,59.5346,2.42,14.4075,0.7445,128.0,97.549,0.0648,0.9792,0.1492,11.2832,0.1779,19,13,9
2024-05-09,6.8358,5.588,51.4167,15.3604,88.0052,1.7453,15.3597,0.7445,129.0,97.505,0.0644,0.2093,0.112,4.0322,0.0529,19,13,9
2024-05-10,5.3204,0.0,258.5625,14.0375,73.5025,1.6025,11.7788,0.7445,130.0,97.494,0.0643,0.4246,0.104,11.7912,0.1278,19,13,9
2024-05-11,10.1967,1.016,335.5833,16.3792,57.0688,1.8628,10.6307,0.7445,131.0,97.514,0.0645,0.7997,0.1186,14.0835,0.2208,19,13,9
2024-05-12,4.6812,0.0,347.75,18.2646,54.8267,2.0986,11.5058,0.7445,132.0,97.53,0.0646,0.948,0.1317,14.5512,0.2142,19,13,9
2024-05-13,6.1033,0.0,245.9792,20.6958,55.8779,2.4409,13.6393,0.7445,133.0,97.55,0.0648,1.077,0.1503,11.1914,0.2192,20,14,10
2024-05-14,4.7546,0.254,119.0833,17.9479,82.5225,2.0572,16.9769,0.7445,134.0,97.527,0.0646,0.3595,0.1294,6.7699,0.087,20,14,10
2024-05-15,6.815,5.842,168.0208,17.5021,85.4688,2.0003,17.0959,0.7445,135.0,97.523,0.0646,0.2907,0.1263,8.7819,0.0937,20,14,10
2024-05-16,2.1542,0.0,0.0,11.975,86.9217,1.4003,12.1712,0.7445,136.0,97.476,0.0642,0.1832,0.0923,2.1,0.0254,20,14,10
