Time (LST),AVG_WS (mps),precip (mm),SUM_SR (W/m²),AVG_Temp (°C),AVG_RH (%),SVP (kPa),VP (mb)
2024-05-11,5.5396,0.0,412.0417,18.2222,42.7917,2.093,8.9563
2024-05-12,2.4876,0.0,347.75,18.603,53.8125,2.1436,11.535
2024-05-13,3.2271,0.0,245.9792,20.6273,57.2083,2.4306,13.9053
2024-05-14,2.3507,0.254,119.0833,17.9051,83.0417,2.0517,17.0377
2024-05-15,3.5093,5.842,168.0208,17.3889,84.875,1.986,16.8562
2024-05-16,1.9577,0.0,188.0833,17.3981,80.0,1.9872,15.8973
2024-05-17,1.8589,0.0,278.6875,20.6389,76.625,2.4324,18.6381
2024-05-18,1.6866,0.0,287.9167,22.6481,69.3542,2.7502,19.0738
2024-05-19,2.5593,0.762,263.6458,23.7095,67.0417,2.9323,19.6585
2024-05-20,3.2131,0.0,317.0417,24.5949,61.6667,3.0921,19.0682
2024-05-21,4.2441,0.0,315.4792,25.8669,57.7083,3.3351,19.2462
2024-05-22,5.0376,0.0,339.375,22.7743,56.3333,2.7713,15.6117
2024-05-23,1.7574,0.0,356.7083,21.2535,55.4167,2.526,13.9982
2024-05-24,3.1339,14.986,190.7292,20.8877,78.625,2.4699,19.4196
2024-05-25,2.3125,0.0,359.1042,20.5405,61.0208,2.4177,14.7528
2024-05-26,2.9821,18.034,141.75,19.7488,72.0417,2.3022,16.5852
2024-05-27,4.8159,2.286,178.625,18.6273,73.125,2.1468,15.6986
2024-05-28,3.5791,0.508,300.0625,17.5729,69.6667,2.0092,13.9975
2024-05-29,4.1547,0.0,321.9167,16.6076,66.1875,1.8901,12.5099
2024-05-30,1.4762,0.0,386.8333,17.0579,51.4375,1.9448,10.0038
2024-05-31,2.7446,0.0,336.25,20.1076,46.9167,2.3539,11.0437
2024-06-01,2.9439,5.842,101.7708,18.7083,72.4375,2.1577,15.63
2024-06-02,1.7844,0.254,220.0417,19.8762,82.3333,2.3204,19.1048
2024-06-03,1.9707,0.0,342.4583,22.8183,68.7708,2.7787,19.1094
2024-06-04,2.5435,0.0,269.75,24.7118,65.7292,3.1138,20.4668
2024-06-05,3.3118,10.414,146.4167,22.2106,81.375,2.6781,21.7928
2024-06-06,4.5412,0.0,366.25,22.0463,52.7292,2.6514,13.9806
2024-06-07,4.3726,0.0,371.9583,20.7894,48.1042,2.455,11.8096
2024-06-08,2.8992,0.0,208.875,19.9826,63.9792,2.3358,14.9441
2024-06-09,4.1249,0.0,343.6667,19.941,54.3333,2.3298,12.6583
2024-06-10,3.6247,0.0,259.4167,15.2245,59.3333,1.7302,10.2656
2024-06-11,1.4296,0.0,386.5833,17.0822,49.8125,1.9478,9.7027
2024-06-12,3.4077,0.0,345.4792,23.1574,47.6667,2.8363,13.5197
2024-06-13,3.9079,14.478,351.875,25.456,54.3542,3.2548,17.6915
2024-06-14,2.1924,4.572,381.7083,23.9074,66.7917,2.9674,19.8196
2024-06-15,2.1952,0.0,357.625,23.2269,55.9792,2.8482,15.9441
2024-06-16,3.3779,0.0,356.2708,26.6921,51.0625,3.5014,17.8793
2024-06-17,3.1209,0.0,330.1458,28.8935,63.3542,3.9811,25.2219
2024-06-18,3.2448,0.254,241.7083,26.4433,69.9375,3.4505,24.1322
2024-06-19,1.478,0.0,291.3333,27.7326,66.375,3.7215,24.7014
2024-06-20,1.9204,0.0,343.75,28.0035,62.625,3.7807,23.6766
2024-06-21,1.749,0.0,349.5417,27.5706,62.5208,3.6864,23.048
2024-06-22,3.1162,0.0,296.7917,27.5799,60.8333,3.6884,22.438
2024-06-23,3.9144,7.874,285.2292,24.7118,73.4792,3.1138,22.88
2024-06-24,1.1604,0.0,369.2917,24.022,66.7083,2.9879,19.9315
2024-06-25,3.4841,2.032,84.3333,23.8611,71.3125,2.9591,21.1023
2024-06-26,1.6791,1.524,51.2,21.5578,85.6,2.5735,22.0292
