Date,Station,Crop,Rootdpth,Deficit,sm_val1,sm_val2,sm_val3,sm_val4,fc_date,fc_val1,fc_val2,fc_val3,fc_val4
2024-06-25 00:00:00,0111,Soybean,20.6667,1.24,16.6,19.9,41.1,49.9,2024-06-18,24.8,27.9,44.8,51.7
2024-06-25 00:00:00,0112,Soybean,20.6667,0.9,22.9,30.0,37.7,50.6,2024-05-29,29.6,33.0,43.6,49.1
2024-06-25 00:00:00,0113,Soybean,20.6667,1.88,26.0,33.6,43.9,51.0,2024-06-17,33.6,50.4,50.6,51.4
2024-06-25 00:00:00,0114,Soybean,20.6667,1.89,18.4,35.2,40.9,41.6,2023-08-19,37.28,45.0,42.96,43.26
2024-06-25 00:00:00,0115,Soybean,20.6667,1.99,21.7,30.6,33.5,31.6,2023-08-11,33.2,37.5,40.5,49.2
2024-06-25 00:00:00,0116,Soybean,20.6667,0.74,12.9,18.2,31.3,48.8,2024-06-22,14.1,22.5,37.8,49.6
2024-06-25 00:00:00,0554,Corn,24,1.26,3.2,5.3,23.9,34.9,2024-06-19,4.6,10.1,31.6,42.0
2024-06-25 00:00:00,0556,Corn,24,1.31,20.1,22.4,17.0,23.4,2024-06-17,17.7,24.9,25.6,36.6
2024-06-25 00:00:00,0557,Corn,24,0.88,36.8,36.3,36.4,44.9,2024-06-16,37.2,38.0,44.3,49.5
2024-06-25 00:00:00,0558,Corn,24,0.0,16.8,16.6,18.3,26.9,2024-06-25,16.8,16.6,18.3,26.9
2024-06-25 00:00:00,0629,Corn,24,1.99,18.2,23.1,37.5,49.0,2024-05-30,27.4,30.2,46.6,56.7
2024-06-25 00:00:00,0630,Corn,24,1.48,14.9,3.6,17.5,22.3,2024-06-18,12.0,5.9,25.8,39.2
